fips,county,state,uninsured_population,total_population,hospital_count
01001,Autauga,AL,3422,39910,1
01009,Blount,AL,22244,134019,5
01017,Chambers,AL,1975,25193,0
01021,Chilton,AL,4607,58574,1
01033,Colbert,AL,22553,239337,8
01045,Dale,AL,7624,122858,4
01051,Elmore,AL,28012,180814,3
01065,Hale,AL,47268,476455,10
01079,Lawrence,AL,28497,175889,3
01083,Limestone,AL,3681,46229,1
01099,Monroe,AL,658,9628,0
01107,Pickens,AL,1796,21203,0
01121,Talladega,AL,4684,64839,1
02050,Bethel,AK,2882,9733,0
02105,Hoonah-Angoon,AK,2329,17697,0
02122,Kenai Peninsula,AK,18263,92094,2
02150,Kodiak Island,AK,20110,143921,4
02164,Lake and Peninsula,AK,6623,35290,0
02180,Nome,AK,5692,22804,0
02188,Northwest Arctic,AK,847,3439,0
02198,Prince of Wales-Hyder,AK,9338,66695,1
05141,Van Buren,AR,1012,7224,0
05145,White,AR,5021,29776,0
06005,Amador,CA,1272,9421,0
06021,Glenn,CA,5049,100843,2
06033,Lake,CA,3204,19523,0
06043,Mariposa,CA,409,5656,0
06055,Napa,CA,2242,26554,0
06089,Shasta,CA,2921,24324,0
06099,Stanislaus,CA,2606,12162,0
06115,Yuba,CA,2454,30982,0
08003,Alamosa,CO,2960,37651,1
08013,Boulder,CO,7075,42193,0
08014,Broomfield,CO,1359,9326,0
08025,Crowley,CO,5963,39235,0
08031,Denver,CO,1754,14680,0
08035,Douglas,CO,22414,125965,5
08047,Gilpin,CO,3556,21951,0
12083,Marion,FL,1654,9352,0
12087,Monroe,FL,2368,12779,0
12095,Orange,FL,1156,7820,0
12111,St. Lucie,FL,14211,86945,1
12119,Sumter,FL,7313,50613,0
12125,Union,FL,9007,42448,1
13001,Appling,GA,9602,42132,1
13013,Barrow,GA,1297,6020,0
13029,Bryan,GA,1780,8197,0
13043,Candler,GA,18989,91547,2
13055,Chattooga,GA,2242,15468,0
13059,Clarke,GA,8774,52002,0
13071,Colquitt,GA,4038,13311,0
13079,Crawford,GA,4864,21614,0
13091,Dodge,GA,15060,75489,1
13107,Emanuel,GA,809,4862,0
13113,Fayette,GA,7499,43280,0
13123,Gilmer,GA,2404,23920,0
08053,Hinsdale,CO,6378,43584,0
08057,Jackson,CO,1529,25582,0
08059,Jefferson,CO,29375,185337,3
08073,Lincoln,CO,1482,12961,0
08083,Montezuma,CO,1049,13422,0
08095,Phillips,CO,1253,17888,0
08105,Rio Grande,CO,10839,71147,2
08111,San Juan,CO,158,1318,0
08123,Weld,CO,417,2194,0
09015,Windham,CT,2880,108696,2
12001,Alachua,FL,11267,59013,1
12013,Calhoun,FL,2351,17014,0
12023,Columbia,FL,8329,39424,0
12039,Gadsden,FL,4394,22014,0
12055,Highlands,FL,542,2391,0
12059,Holmes,FL,2662,22353,0
12073,Leon,FL,37297,256972,5
02261,Valdez-Cordova,AK,4179,21085,0
02270,Wade Hampton,AK,4369,25554,0
04003,Cochise,AZ,3779,61941,1
04013,Maricopa,AZ,7018,44876,0
05001,Arkansas,AR,3569,47041,2
05009,Boone,AR,1792,10929,0
05019,Clark,AR,5821,41424,0
05029,Conway,AR,399,6423,0
05043,Drew,AR,4304,24661,0
05051,Garland,AR,1578,8662,0
05061,Howard,AR,7853,67921,1
05071,Johnson,AR,11375,77554,1
05085,Lonoke,AR,2045,15389,0
05097,Montgomery,AR,2865,33438,1
05101,Newton,AR,1485,16225,0
05111,Poinsett,AR,1918,11289,0
05123,St. Francis,AR,2041,19616,0
05129,Searcy,AR,804,5284,0
13309,Wheeler,GA,2528,8622,0
13313,Whitfield,GA,5026,37773,1
13319,Wilkinson,GA,3903,25950,0
15009,Maui,HI,1128,23484,0
16015,Boise,ID,3897,38509,0
16021,Boundary,ID,464,7382,0
16045,Gem,ID,10446,70697,1
16051,Jefferson,ID,895,17060,0
16057,Latah,ID,16454,122134,2
16067,Minidoka,ID,380,2898,0
16081,Teton,ID,793,5211,0
17005,Bond,IL,1749,8957,0
17009,Brown,IL,5388,85195,1
17019,Champaign,IL,11879,180713,2
17029,Coles,IL,7662,72497,1
17035,Cumberland,IL,4860,30291,0
17049,Effingham,IL,21530,151674,3
17055,Franklin,IL,346,2520,0
17065,Hamilton,IL,193,1193,0
18051,Gibson,IN,2449,24675,1
18059,Hancock,IN,5577,71901,1
18069,Huntington,IN,291,1907,0
18079,Jennings,IN,3770,26977,0
18085,Kosciusko,IN,1685,27139,0
18095,Madison,IN,6597,52526,1
18105,Monroe,IN,4881,33216,0
18115,Ohio,IN,4359,52721,2
18125,Pike,IN,2130,14489,0
18131,Pulaski,IN,1787,9585,0
18139,Rush,IN,898,10716,0
18153,Sullivan,IN,5786,32755,0
18173,Warrick,IN,7711,47341,1
18179,Wells,IN,19998,180129,4
18183,Whitley,IN,26535,169149,4
19009,Audubon,IA,67,2789,0
19017,Bremer,IA,7993,118518,3
19021,Buena Vista,IA,1506,32356,0
19031,Cedar,IA,3625,56288,0
19039,Clarke,IA,865,13870,0
17073,Henry,IL,2032,23135,0
17077,Jackson,IL,13605,124796,2
17079,Jasper,IL,10893,63566,1
17089,Kane,IL,6484,38574,0
17103,Lee,IL,826,6138,0
17107,Logan,IL,1800,29789,1
17121,Marion,IL,1996,24185,0
17129,Menard,IL,124306,690806,12
17139,Moultrie,IL,10846,80526,1
17145,Perry,IL,930,6116,0
17155,Putnam,IL,1864,10506,0
17169,Schuyler,IL,13623,124840,3
17175,Stark,IL,3533,19803,0
17179,Tazewell,IL,2568,34525,0
17189,Washington,IL,18108,121701,4
17203,Woodford,IL,12907,120683,2
18009,Blackford,IN,2817,39919,0
18011,Boone,IN,5992,33477,0
18021,Clay,IN,4298,27175,0
18033,DeKalb,IN,6305,73712,1
13125,Glascock,GA,8407,35284,0
13129,Gordon,GA,688,3315,0
13131,Grady,GA,2955,15719,0
13139,Hall,GA,5242,28997,0
13157,Jackson,GA,6323,37574,1
13169,Jones,GA,710,3573,0
13175,Laurens,GA,36409,164222,4
13187,Lumpkin,GA,48147,194831,4
13197,Marion,GA,1041,4380,0
13201,Miller,GA,6835,32806,0
13217,Newton,GA,7385,43338,0
13225,Peach,GA,2499,10081,0
13233,Polk,GA,14461,98043,1
13243,Randolph,GA,225702,904207,15
13253,Seminole,GA,4987,25571,0
13265,Taliaferro,GA,4793,20355,0
13277,Tift,GA,11007,70456,2
13285,Troup,GA,7544,34468,1
13293,Upson,GA,9745,41135,1
13303,Washington,GA,3693,26710,1
20027,Clay,KS,4930,45900,1
20029,Cloud,KS,5151,48986,1
20039,Decatur,KS,7224,72236,1
20049,Elk,KS,1359,8401,0
20065,Graham,KS,5756,46582,0
20075,Hamilton,KS,6505,50496,1
20085,Jackson,KS,14673,95377,1
20095,Kingman,KS,2025,12879,0
20105,Lincoln,KS,29720,225716,3
20115,Marion,KS,4933,45978,0
20127,Morris,KS,4444,50298,0
20135,Ness,KS,2136,13774,0
20145,Pawnee,KS,239,1713,0
20155,Reno,KS,77570,437281,6
20163,Rooks,KS,12209,79910,3
20173,Sedgwick,KS,4692,34135,0
20185,Stafford,KS,13648,79242,3
20195,Trego,KS,30501,180501,5
20203,Wichita,KS,10254,99483,3
20205,Wilson,KS,12701,111373,4
21183,Ohio,KY,3262,22256,0
21187,Owen,KY,1092,15584,0
21189,Owsley,KY,782,5904,0
21199,Pulaski,KY,467,2815,0
21209,Scott,KY,14026,137841,4
21219,Todd,KY,3008,22551,0
21229,Washington,KY,2005,16253,0
22001,Acadia,LA,4621,59188,0
22013,Bienville,LA,3283,19652,0
22033,East Baton Rouge,LA,4712,70448,2
22053,Jefferson Davis,LA,220,4117,0
22073,Ouachita,LA,1088,19161,0
22077,Pointe Coupee,LA,4109,36722,0
22089,St. Charles,LA,3540,30656,0
